time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,25.9,64,10.9,2025-12-11,0,warm,24.619999999999997
2025-12-11 01:00:00,25.4,65,9.8,2025-12-11,1,warm,24.099999999999998
2025-12-11 02:00:00,25.1,64,8.4,2025-12-11,2,warm,23.82
2025-12-11 03:00:00,24.8,60,8.2,2025-12-11,3,warm,23.6
2025-12-11 04:00:00,24.6,56,8.0,2025-12-11,4,warm,23.48
2025-12-11 05:00:00,24.4,56,8.6,2025-12-11,5,warm,23.279999999999998
2025-12-11 06:00:00,24.0,56,8.8,2025-12-11,6,warm,22.88
2025-12-11 07:00:00,23.8,56,9.1,2025-12-11,7,warm,22.68
2025-12-11 08:00:00,23.8,55,9.4,2025-12-11,8,warm,22.7
2025-12-11 09:00:00,24.3,53,9.4,2025-12-11,9,warm,23.240000000000002
2025-12-11 10:00:00,25.6,47,9.8,2025-12-11,10,warm,24.66
2025-12-11 11:00:00,26.9,44,8.0,2025-12-11,11,warm,26.02
2025-12-11 12:00:00,27.9,43,4.3,2025-12-11,12,warm,27.04
2025-12-11 13:00:00,28.0,46,0.8,2025-12-11,13,warm,27.08
2025-12-11 14:00:00,27.6,51,6.4,2025-12-11,14,warm,26.580000000000002
2025-12-11 15:00:00,26.8,60,10.9,2025-12-11,15,warm,25.6
2025-12-11 16:00:00,26.6,60,11.8,2025-12-11,16,warm,25.400000000000002
2025-12-11 17:00:00,27.0,58,11.0,2025-12-11,17,warm,25.84
2025-12-11 18:00:00,26.7,64,12.4,2025-12-11,18,warm,25.419999999999998
2025-12-11 19:00:00,26.5,63,14.3,2025-12-11,19,warm,25.24
2025-12-11 20:00:00,26.3,65,15.4,2025-12-11,20,warm,25.0
2025-12-11 21:00:00,25.9,66,15.1,2025-12-11,21,warm,24.58
2025-12-11 22:00:00,25.9,62,12.8,2025-12-11,22,warm,24.66
2025-12-11 23:00:00,25.8,61,10.2,2025-12-11,23,warm,24.580000000000002
